"nil","nil"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"佺笙","素问"," 0/0","131","0","2292032","0","40028","0","221243742","68118187","7","6","0"
"弗白","血河"," 9/0","83","0","98104356","0","228880","0","13235920","53248602","15","0","0"
"椿风","铁衣"," 1/0","107","0","55909994","0","2118190","0","3786596","237340790","7","0","0"
"加加子","铁衣"," 3/0","67","0","21431386","0","9150872","0","3688804","88223566","5","0","0"
"小仙","铁衣"," 2/0","72","0","44431984","0","798939","0","11489830","155444905","3","0","0"
"疏临","鸿音"," 0/0","58","0","977612","0","6435","0","177783888","27924292","4","7","0"
"玉碎","玄机"," 20/1","56","0","201255716","0","436188","0","2941194","44910987","12","0","0"
"椿山晓","鸿音"," 5/0","41","0","73560443","19447726","35696745","12284074","3554033","14279637","5","0","0"
"脏脏熊","九灵"," 10/1","105","0","103085369","0","834683","0","6037693","44359628","7","0","39"
"风鸢","神相"," 27/1","135","0","215692800","0","121859","0","3637755","44434282","2","0","0"
"小椰丶","铁衣"," 0/0","163","0","44694949","0","0","0","15235616","173251062","5","0","0"
"觉觉","素问"," 0/0","67","0","1472249","0","0","0","265168887","95835735","2","10","0"
"共感","潮光"," 0/0","41","0","26965434","0","14764650","0","9756264","22943742","10","8","0"
"古丽大扎","鸿音"," 26/3","144","0","243614161","33647533","319909","194886","2645294","23439611","7","0","0"
"逢卿","血河"," 9/0","62","0","200728479","0","3541540","0","14017051","75489658","9","0","0"
"愿愿","素问"," 0/0","239","0","1754914","0","0","0","318833335","60640669","3","9","0"
"鹤鹤子","鸿音"," 0/0","129","0","1057538","0","7021","0","205723407","50244763","5","8","0"
"万岁","潮光"," 15/2","178","0","155646809","0","168809","0","23618354","35196416","6","10","0"
"声烦","铁衣"," 1/0","130","0","27276484","0","0","0","12455477","101695920","3","0","0"
"花时醉","潮光"," 0/0","37","0","43604763","0","30567312","0","14743178","37194218","4","10","0"
"柔媚的小狗","龙吟"," 2/0","26","0","49244447","0","24861751","0","2600000","28262660","4","0","0"
"翡月","龙吟"," 1/0","25","0","37887717","0","12277453","0","3271211","52234068","13","0","0"
"茳慈","沧澜"," 1/0","15","0","55441559","0","23132683","0","3000000","45728638","11","0","0"
"于靑","碎梦"," 37/5","100","0","190590770","0","70191","0","2480000","32320304","5","0","0"
"漂亮藕汤大王","素问"," 0/0","43","0","2376361","0","114993","0","158016036","34505351","5","5","0"
"栖春","潮光"," 1/0","51","0","27936792","0","6745622","0","15279766","32941261","6","10","0"
"星笺","素问"," 0/0","222","0","4407053","0","12470","0","300054657","46958381","1","12","0"
"迪丽锅巴丷","素问"," 0/0","240","0","1843807","0","5671","0","313022030","54112481","7","7","0"
"乔倩","素问"," 0/0","118","0","3308605","0","53127","0","343696191","85906119","4","9","0"
"阿尼亚","潮光"," 0/0","23","0","24496721","0","15444083","0","10185884","16090266","3","7","0"
"莞意","神相"," 11/1","136","0","165047126","0","412162","0","3710015","33229639","10","0","0"
"天王老子","龙吟"," 22/0","139","0","143458326","0","0","0","2762305","42119615","5","0","0"
"久战","九灵"," 13/6","179","0","266379917","0","309474","0","58000","50298076","7","0","55"
"小鱼吐泡泡","铁衣"," 0/0","102","0","36863389","0","1336760","0","6019414","247771769","5","0","0"
"圆勾勾","碎梦"," 41/3","106","0","236333656","0","59133","0","3143117","45138268","5","0","0"
"素苒","碎梦"," 28/4","82","0","145833238","0","0","0","3050000","34465687","6","0","0"
"阿澜","九灵"," 15/1","179","0","194482055","0","0","0","2733635","41368810","5","0","67"
"醉浪","沧澜"," 7/0","44","0","94388526","0","100967","0","4525741","24726932","7","0","0"
"瑶儿","鸿音"," 0/0","79","0","1674800","0","9522","0","240739184","70707862","4","5","0"
"霸道海神唐三","鸿音"," 15/1","151","0","259512618","45985739","40396","0","2005848","16190226","1","0","0"
"今天学习了没","素问"," 0/0","108","0","637341","0","8095","0","179535926","64437037","5","5","0"
"挑拨","龙吟"," 0/0","41","0","84016320","0","10081054","0","2207641","41724893","5","0","0"
"素眠","潮光"," 1/0","69","0","29296409","0","11172037","0","18828981","28093063","14","10","0"
"鴻陸","沧澜"," 2/0","31","0","55150219","0","22141159","0","2510898","31535912","6","0","0"
"云赫","玄机"," 34/3","104","0","236161106","0","1481321","0","3034942","32731825","7","0","0"
"兮瑶","沧澜"," 0/0","21","0","36935011","0","10952583","0","2680002","31390362","7","0","0"
"满月夜","素问"," 0/0","103","0","2919562","0","62082","0","234746592","81899866","5","9","0"
"早柚","血河"," 17/2","91","0","204782830","0","19247","0","18844232","45473561","7","0","0"
"晚钟","神相"," 7/0","115","0","117596645","0","133650","0","4463681","28205821","7","0","0"
"弘叶题石","鸿音"," 0/0","229","0","810167","0","0","0","163386645","31992951","4","5","0"
"挫败","神相"," 20/4","173","0","247300152","0","89311","0","4547666","50706461","8","0","0"
"夫人","素问"," 0/0","134","0","2974103","0","140271","0","293754444","51225728","2","9","0"
"哆瑞","潮光"," 3/0","69","0","36008625","0","10960592","0","10619133","32851712","10","9","0"
"千世","玄机"," 14/4","65","0","230975438","0","1433809","0","4042753","61102486","8","0","0"
"困困丶","龙吟"," 1/0","15","0","35143808","0","26616863","0","2376488","38909719","7","0","0"
"凉冰","九灵"," 8/0","114","0","154670801","0","96357","0","2075344","32124126","6","0","16"
"邮电部诗人","碎梦"," 13/2","51","0","134016344","0","2008952","0","4102144","72231287","9","0","0"
"礼长生","沧澜"," 6/0","22","0","91792023","0","26310970","0","3120675","28409372","2","0","0"


"nil","nil"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"瞻德彪","素问"," 0/0","161","0","1073908","0","38438","0","338483798","74142000","4","2","0"
"清晰","铁衣"," 1/0","90","0","25114609","0","2742678","0","9429720","123070052","7","0","0"
"沐凝安","鸿音"," 0/0","147","0","766712","0","9932","0","195280110","41666881","7","3","0"
"朝肆肆","素问"," 0/0","117","0","2240290","0","97024","0","177301160","61374862","13","6","0"
"攻玉","素问"," 0/0","75","0","3634754","0","156703","0","264086326","53323578","7","12","0"
"晴深深","九灵"," 9/1","122","0","247893028","0","0","0","2016000","23594362","8","0","28"
"低劣","玄机"," 5/0","65","0","84869845","0","13213078","0","3284511","40881882","10","0","0"
"云酿","素问"," 0/0","166","0","1328278","0","48456","0","197823087","48500063","4","6","0"
"山光黛浮","龙吟"," 0/0","17","0","20735434","0","10293431","0","2165865","17074068","11","0","0"
"虞齐","玄机"," 9/1","39","0","88892548","0","2823326","0","7697112","44045112","11","0","0"
"淺色","沧澜"," 0/0","34","0","61488796","0","5687629","0","2999999","42691785","9","0","0"
"闻韶","鸿音"," 4/0","39","0","90004230","14514354","38412110","7565086","3201032","30441478","11","0","0"
"潘潘","九灵"," 17/3","108","0","171328471","0","137059","0","2348988","24622058","4","0","36"
"抵押","龙吟"," 2/0","45","0","44594146","0","9536294","0","3000000","26525549","7","0","0"
"君上","血河"," 10/1","57","0","243862973","0","126271","0","24538398","64623181","9","0","0"
"魂啖","沧澜"," 4/2","14","0","52844746","0","25175606","0","0","35521212","11","0","0"
"莺禧","鸿音"," 0/0","137","0","848863","0","0","0","161573076","48143624","7","4","0"
"沚水","九灵"," 3/1","107","0","79215209","0","511054","0","16000","24609133","6","0","21"
"应岁与","潮光"," 4/0","65","0","65329281","0","7580284","0","17886289","37696579","6","11","0"
"最初","素问"," 0/0","199","0","1940338","0","0","0","371990497","78757685","3","10","0"
"鱼玉玉","鸿音"," 6/1","36","0","89343952","6548030","7730527","3417511","4181901","30208894","11","0","0"
"余帘","碎梦"," 3/0","52","0","48282527","0","1135783","0","36000","46004240","9","0","0"
"花白","素问"," 0/0","203","0","4371815","0","0","0","316933855","59045930","0","10","0"
"十一画尽相思","碎梦"," 31/6","40","0","206049805","0","0","0","34000","47304228","4","0","0"
"小小渔","沧澜"," 2/0","45","0","52795244","0","1693138","0","2916749","29944888","12","0","0"
"芷鸢","潮光"," 5/1","118","0","95824576","0","454275","0","20021937","25455446","4","10","0"
"山意","铁衣"," 6/2","126","0","38893965","0","1032985","0","7694233","198547107","4","0","0"
"点绛","铁衣"," 1/0","87","0","24887872","0","260812","0","4651503","95121024","2","0","0"
"芈仙","九灵"," 11/3","134","0","178112380","0","194586","0","2096150","29221646","8","0","18"
"指尖翻飞吉他徐","鸿音"," 0/0","182","0","804225","0","0","0","224188322","18330592","1","8","0"
"阿晨","铁衣"," 1/0","94","0","17552022","0","60829","0","13823591","243987688","5","0","0"
"我在大宋扫垃圾","潮光"," 4/0","84","0","79086707","0","8947656","0","13124227","39878486","7","12","0"
"忧伤荷包蛋","神相"," 5/1","60","0","69409187","0","53707","0","1928038","30141565","6","0","0"
"极品碎梦男神","碎梦"," 19/3","73","0","138085791","0","0","0","2787990","44474518","5","0","0"
"周楷楷","鸿音"," 5/0","66","0","135101800","25378761","4722000","1765387","2786047","18490695","8","0","0"
"重淬","神相"," 9/4","118","0","262890390","0","340076","0","5031505","53802758","16","0","0"
"亮闪闪","素问"," 0/1","74","0","3420132","0","225216","0","171540033","65040199","10","11","0"
"止胥","神相"," 19/4","129","0","260211932","0","180876","0","5968428","79003311","7","0","0"
"野犬","铁衣"," 1/0","118","0","41564417","0","23454","0","4845769","152433202","3","0","0"
"谢婉灵","素问"," 0/0","177","0","1066474","0","0","0","262882291","60682015","3","8","0"
"江星落落","素问"," 0/0","71","0","740794","0","3698","0","184270179","78912405","9","3","0"
"稚初","龙吟"," 2/0","24","0","32236069","0","29939871","0","0","25001048","17","0","0"
"星星点点","血河"," 21/3","85","0","352439215","0","180128","0","26173830","50600629","8","0","0"
"悦甜","碎梦"," 30/9","55","0","206299795","0","0","0","46000","54427416","3","0","0"
"逍遥云姬","沧澜"," 4/0","11","0","29017586","0","22185392","0","2200000","37692905","15","0","0"
"小小回","龙吟"," 2/0","26","0","17452346","0","2748944","0","2734524","25865926","7","0","0"
"刘不烦","龙吟"," 13/2","105","0","325145913","0","44314","0","2585159","28551105","7","0","0"
"安月","九灵"," 3/0","74","0","95396185","0","73060","0","3220000","42521394","13","0","24"
"野望","血河"," 4/0","29","0","73454626","0","2216114","0","19216566","41723046","13","0","0"
"別夜","玄机"," 2/1","28","0","66489815","0","3370615","0","3207742","25554119","14","0","0"
